[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/omnetpp.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 496, READ INSTS: 47, LAST WRITE DURATION: 292, LAST WRITE INSTS: 22, R/W DURATION RATIO: 1.69863
READ DURATION: 602, READ INSTS: 61, LAST WRITE DURATION: 222, LAST WRITE INSTS: 30, R/W DURATION RATIO: 2.71171
READ DURATION: 604, READ INSTS: 56, LAST WRITE DURATION: 281, LAST WRITE INSTS: 34, R/W DURATION RATIO: 2.14947
READ DURATION: 515, READ INSTS: 48, LAST WRITE DURATION: 266, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.93609
READ DURATION: 538, READ INSTS: 51, LAST WRITE DURATION: 250, LAST WRITE INSTS: 28, R/W DURATION RATIO: 2.152
READ DURATION: 616, READ INSTS: 58, LAST WRITE DURATION: 137, LAST WRITE INSTS: 24, R/W DURATION RATIO: 4.49635
READ DURATION: 470, READ INSTS: 46, LAST WRITE DURATION: 239, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.96653
READ DURATION: 1855, READ INSTS: 40, LAST WRITE DURATION: 336, LAST WRITE INSTS: 31, R/W DURATION RATIO: 5.52083
READ DURATION: 565, READ INSTS: 54, LAST WRITE DURATION: 179, LAST WRITE INSTS: 19, R/W DURATION RATIO: 3.15642
READ DURATION: 803, READ INSTS: 82, LAST WRITE DURATION: 273, LAST WRITE INSTS: 31, R/W DURATION RATIO: 2.94139
READ DURATION: 706, READ INSTS: 71, LAST WRITE DURATION: 306, LAST WRITE INSTS: 42, R/W DURATION RATIO: 2.30719
READ DURATION: 441, READ INSTS: 40, LAST WRITE DURATION: 235, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.8766
READ DURATION: 419, READ INSTS: 42, LAST WRITE DURATION: 269, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.55762
READ DURATION: 584, READ INSTS: 57, LAST WRITE DURATION: 263, LAST WRITE INSTS: 26, R/W DURATION RATIO: 2.22053
READ DURATION: 514, READ INSTS: 51, LAST WRITE DURATION: 303, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.69637
READ DURATION: 534, READ INSTS: 58, LAST WRITE DURATION: 273, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.95604
READ DURATION: 530, READ INSTS: 49, LAST WRITE DURATION: 301, LAST WRITE INSTS: 21, R/W DURATION RATIO: 1.7608
READ DURATION: 500, READ INSTS: 44, LAST WRITE DURATION: 182, LAST WRITE INSTS: 25, R/W DURATION RATIO: 2.74725
READ DURATION: 540, READ INSTS: 49, LAST WRITE DURATION: 203, LAST WRITE INSTS: 29, R/W DURATION RATIO: 2.6601
READ DURATION: 714, READ INSTS: 69, LAST WRITE DURATION: 186, LAST WRITE INSTS: 27, R/W DURATION RATIO: 3.83871
READ DURATION: 453, READ INSTS: 39, LAST WRITE DURATION: 263, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.72243
READ DURATION: 2061, READ INSTS: 71, LAST WRITE DURATION: 208, LAST WRITE INSTS: 28, R/W DURATION RATIO: 9.90865
READ DURATION: 542, READ INSTS: 59, LAST WRITE DURATION: 274, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.9781
READ DURATION: 502, READ INSTS: 48, LAST WRITE DURATION: 271, LAST WRITE INSTS: 22, R/W DURATION RATIO: 1.8524
READ DURATION: 460, READ INSTS: 53, LAST WRITE DURATION: 336, LAST WRITE INSTS: 37, R/W DURATION RATIO: 1.36905
READ DURATION: 529, READ INSTS: 49, LAST WRITE DURATION: 186, LAST WRITE INSTS: 16, R/W DURATION RATIO: 2.84409
READ DURATION: 470, READ INSTS: 51, LAST WRITE DURATION: 253, LAST WRITE INSTS: 36, R/W DURATION RATIO: 1.85771
