[Ramulator::ReadWriteTrace] [info] Loading trace file /home/fann/projects/cache_simulator/sampled_trace/541_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
ENTER WRITE MODE AT CYCLE: 1
LEAVE WRITE MODE AT CYCLE: 2
ENTER WRITE MODE AT CYCLE: 910
LEAVE WRITE MODE AT CYCLE: 941
ENTER WRITE MODE AT CYCLE: 942
LEAVE WRITE MODE AT CYCLE: 1019
ENTER WRITE MODE AT CYCLE: 1020
LEAVE WRITE MODE AT CYCLE: 1104
ENTER WRITE MODE AT CYCLE: 1105
LEAVE WRITE MODE AT CYCLE: 1217
ENTER WRITE MODE AT CYCLE: 1218
LEAVE WRITE MODE AT CYCLE: 1286
ENTER WRITE MODE AT CYCLE: 1287
LEAVE WRITE MODE AT CYCLE: 1293
ENTER WRITE MODE AT CYCLE: 1295
LEAVE WRITE MODE AT CYCLE: 1334
ENTER WRITE MODE AT CYCLE: 1335
LEAVE WRITE MODE AT CYCLE: 1482
ENTER WRITE MODE AT CYCLE: 1483
LEAVE WRITE MODE AT CYCLE: 1522
ENTER WRITE MODE AT CYCLE: 1523
LEAVE WRITE MODE AT CYCLE: 1608
ENTER WRITE MODE AT CYCLE: 1609
LEAVE WRITE MODE AT CYCLE: 1641
ENTER WRITE MODE AT CYCLE: 1642
LEAVE WRITE MODE AT CYCLE: 1749
ENTER WRITE MODE AT CYCLE: 1750
LEAVE WRITE MODE AT CYCLE: 1857
ENTER WRITE MODE AT CYCLE: 1858
LEAVE WRITE MODE AT CYCLE: 1945
ENTER WRITE MODE AT CYCLE: 1946
LEAVE WRITE MODE AT CYCLE: 1983
ENTER WRITE MODE AT CYCLE: 1984
LEAVE WRITE MODE AT CYCLE: 2065
ENTER WRITE MODE AT CYCLE: 2066
LEAVE WRITE MODE AT CYCLE: 2072
ENTER WRITE MODE AT CYCLE: 2074
LEAVE WRITE MODE AT CYCLE: 2111
ENTER WRITE MODE AT CYCLE: 2112
LEAVE WRITE MODE AT CYCLE: 2154
ENTER WRITE MODE AT CYCLE: 2155
LEAVE WRITE MODE AT CYCLE: 2192
ENTER WRITE MODE AT CYCLE: 2193
LEAVE WRITE MODE AT CYCLE: 2266
ENTER WRITE MODE AT CYCLE: 2267
LEAVE WRITE MODE AT CYCLE: 2384
ENTER WRITE MODE AT CYCLE: 2385
LEAVE WRITE MODE AT CYCLE: 2535
ENTER WRITE MODE AT CYCLE: 2536
LEAVE WRITE MODE AT CYCLE: 2610
ENTER WRITE MODE AT CYCLE: 2611
LEAVE WRITE MODE AT CYCLE: 2693
ENTER WRITE MODE AT CYCLE: 2694
LEAVE WRITE MODE AT CYCLE: 2771
ENTER WRITE MODE AT CYCLE: 2772
LEAVE WRITE MODE AT CYCLE: 2803
ENTER WRITE MODE AT CYCLE: 2804
LEAVE WRITE MODE AT CYCLE: 2849
ENTER WRITE MODE AT CYCLE: 2850
LEAVE WRITE MODE AT CYCLE: 2883
ENTER WRITE MODE AT CYCLE: 2884
LEAVE WRITE MODE AT CYCLE: 2963
ENTER WRITE MODE AT CYCLE: 2964
LEAVE WRITE MODE AT CYCLE: 3000
ENTER WRITE MODE AT CYCLE: 3140
LEAVE WRITE MODE AT CYCLE: 3238
ENTER WRITE MODE AT CYCLE: 7498
LEAVE WRITE MODE AT CYCLE: 7541
ENTER WRITE MODE AT CYCLE: 7590
LEAVE WRITE MODE AT CYCLE: 7604
ENTER WRITE MODE AT CYCLE: 7646
LEAVE WRITE MODE AT CYCLE: 7655
ENTER WRITE MODE AT CYCLE: 7656
LEAVE WRITE MODE AT CYCLE: 7659
ENTER WRITE MODE AT CYCLE: 7708
LEAVE WRITE MODE AT CYCLE: 7712
ENTER WRITE MODE AT CYCLE: 7713
LEAVE WRITE MODE AT CYCLE: 7737
ENTER WRITE MODE AT CYCLE: 7738
LEAVE WRITE MODE AT CYCLE: 7739
ENTER WRITE MODE AT CYCLE: 7748
LEAVE WRITE MODE AT CYCLE: 7765
ENTER WRITE MODE AT CYCLE: 8502
LEAVE WRITE MODE AT CYCLE: 8514
ENTER WRITE MODE AT CYCLE: 10352
LEAVE WRITE MODE AT CYCLE: 10372
ENTER WRITE MODE AT CYCLE: 10374
LEAVE WRITE MODE AT CYCLE: 10968
ENTER WRITE MODE AT CYCLE: 10969
LEAVE WRITE MODE AT CYCLE: 11591
ENTER WRITE MODE AT CYCLE: 11592
LEAVE WRITE MODE AT CYCLE: 11912
ENTER WRITE MODE AT CYCLE: 11913
LEAVE WRITE MODE AT CYCLE: 12012
ENTER WRITE MODE AT CYCLE: 12061
LEAVE WRITE MODE AT CYCLE: 12249
ENTER WRITE MODE AT CYCLE: 12250
LEAVE WRITE MODE AT CYCLE: 12583
ENTER WRITE MODE AT CYCLE: 13953
LEAVE WRITE MODE AT CYCLE: 14019
ENTER WRITE MODE AT CYCLE: 14020
LEAVE WRITE MODE AT CYCLE: 14120
ENTER WRITE MODE AT CYCLE: 14121
LEAVE WRITE MODE AT CYCLE: 14855
ENTER WRITE MODE AT CYCLE: 14904
LEAVE WRITE MODE AT CYCLE: 14907
ENTER WRITE MODE AT CYCLE: 14908
LEAVE WRITE MODE AT CYCLE: 14929
ENTER WRITE MODE AT CYCLE: 14930
LEAVE WRITE MODE AT CYCLE: 15891
ENTER WRITE MODE AT CYCLE: 15892
LEAVE WRITE MODE AT CYCLE: 16512
ENTER WRITE MODE AT CYCLE: 16513
LEAVE WRITE MODE AT CYCLE: 17334
ENTER WRITE MODE AT CYCLE: 17383
LEAVE WRITE MODE AT CYCLE: 21400
ENTER WRITE MODE AT CYCLE: 21401
LEAVE WRITE MODE AT CYCLE: 22110
ENTER WRITE MODE AT CYCLE: 22111
LEAVE WRITE MODE AT CYCLE: 22546
ENTER WRITE MODE AT CYCLE: 22547
LEAVE WRITE MODE AT CYCLE: 22876
ENTER WRITE MODE AT CYCLE: 22877
LEAVE WRITE MODE AT CYCLE: 23167
ENTER WRITE MODE AT CYCLE: 23216
LEAVE WRITE MODE AT CYCLE: 23624
ENTER WRITE MODE AT CYCLE: 23625
LEAVE WRITE MODE AT CYCLE: 23823
ENTER WRITE MODE AT CYCLE: 23824
LEAVE WRITE MODE AT CYCLE: 24312
ENTER WRITE MODE AT CYCLE: 24313
LEAVE WRITE MODE AT CYCLE: 24595
ENTER WRITE MODE AT CYCLE: 24644
LEAVE WRITE MODE AT CYCLE: 25628
ENTER WRITE MODE AT CYCLE: 26358
LEAVE WRITE MODE AT CYCLE: 26389
ENTER WRITE MODE AT CYCLE: 26430
LEAVE WRITE MODE AT CYCLE: 26674
ENTER WRITE MODE AT CYCLE: 26675
LEAVE WRITE MODE AT CYCLE: 26692
ENTER WRITE MODE AT CYCLE: 26693
LEAVE WRITE MODE AT CYCLE: 27478
ENTER WRITE MODE AT CYCLE: 27479
LEAVE WRITE MODE AT CYCLE: 27652
ENTER WRITE MODE AT CYCLE: 27653
LEAVE WRITE MODE AT CYCLE: 27742
ENTER WRITE MODE AT CYCLE: 27743
LEAVE WRITE MODE AT CYCLE: 28257
ENTER WRITE MODE AT CYCLE: 28258
LEAVE WRITE MODE AT CYCLE: 29956
ENTER WRITE MODE AT CYCLE: 29957
LEAVE WRITE MODE AT CYCLE: 30196
ENTER WRITE MODE AT CYCLE: 30197
LEAVE WRITE MODE AT CYCLE: 30439
ENTER WRITE MODE AT CYCLE: 30440
LEAVE WRITE MODE AT CYCLE: 34122
ENTER WRITE MODE AT CYCLE: 34123
LEAVE WRITE MODE AT CYCLE: 34175
ENTER WRITE MODE AT CYCLE: 34224
LEAVE WRITE MODE AT CYCLE: 34910
ENTER WRITE MODE AT CYCLE: 34911
LEAVE WRITE MODE AT CYCLE: 35069
ENTER WRITE MODE AT CYCLE: 35070
LEAVE WRITE MODE AT CYCLE: 36459
ENTER WRITE MODE AT CYCLE: 36460
LEAVE WRITE MODE AT CYCLE: 36583
ENTER WRITE MODE AT CYCLE: 36584
LEAVE WRITE MODE AT CYCLE: 37050
ENTER WRITE MODE AT CYCLE: 37051
LEAVE WRITE MODE AT CYCLE: 37179
ENTER WRITE MODE AT CYCLE: 37180
LEAVE WRITE MODE AT CYCLE: 37299
ENTER WRITE MODE AT CYCLE: 37300
LEAVE WRITE MODE AT CYCLE: 38059
ENTER WRITE MODE AT CYCLE: 38758
LEAVE WRITE MODE AT CYCLE: 39540
ENTER WRITE MODE AT CYCLE: 39541
LEAVE WRITE MODE AT CYCLE: 39551
ENTER WRITE MODE AT CYCLE: 39552
LEAVE WRITE MODE AT CYCLE: 39943
ENTER WRITE MODE AT CYCLE: 39944
LEAVE WRITE MODE AT CYCLE: 40658
ENTER WRITE MODE AT CYCLE: 40659
LEAVE WRITE MODE AT CYCLE: 40674
