[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/fotonik3d.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 381, READ INSTS: 30, LAST WRITE DURATION: 203, LAST WRITE INSTS: 24, R/W DURATION RATIO: 1.87685
READ DURATION: 379, READ INSTS: 36, LAST WRITE DURATION: 283, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.33922
READ DURATION: 488, READ INSTS: 45, LAST WRITE DURATION: 225, LAST WRITE INSTS: 22, R/W DURATION RATIO: 2.16889
READ DURATION: 436, READ INSTS: 36, LAST WRITE DURATION: 235, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.85532
READ DURATION: 505, READ INSTS: 51, LAST WRITE DURATION: 224, LAST WRITE INSTS: 36, R/W DURATION RATIO: 2.25446
READ DURATION: 592, READ INSTS: 58, LAST WRITE DURATION: 243, LAST WRITE INSTS: 24, R/W DURATION RATIO: 2.43621
READ DURATION: 694, READ INSTS: 75, LAST WRITE DURATION: 296, LAST WRITE INSTS: 30, R/W DURATION RATIO: 2.34459
READ DURATION: 2005, READ INSTS: 53, LAST WRITE DURATION: 248, LAST WRITE INSTS: 24, R/W DURATION RATIO: 8.08468
READ DURATION: 665, READ INSTS: 73, LAST WRITE DURATION: 278, LAST WRITE INSTS: 29, R/W DURATION RATIO: 2.39209
READ DURATION: 600, READ INSTS: 68, LAST WRITE DURATION: 328, LAST WRITE INSTS: 30, R/W DURATION RATIO: 1.82927
READ DURATION: 490, READ INSTS: 54, LAST WRITE DURATION: 215, LAST WRITE INSTS: 26, R/W DURATION RATIO: 2.27907
READ DURATION: 733, READ INSTS: 80, LAST WRITE DURATION: 272, LAST WRITE INSTS: 24, R/W DURATION RATIO: 2.69485
READ DURATION: 475, READ INSTS: 51, LAST WRITE DURATION: 253, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.87747
READ DURATION: 627, READ INSTS: 73, LAST WRITE DURATION: 341, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.83871
READ DURATION: 445, READ INSTS: 50, LAST WRITE DURATION: 228, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.95175
